컷,장면,장면제목,시작(초),끝(초),길이(초),스타일,대본,자막,화면구성,이미지프롬프트,사용이미지
1,1,훅,0.00,5.42,5.42,P,미국에서 온 친구가 한국 지도를 한참 보다가 이렇게 물었어요.,자막 없음,"카페 테이블 위 한국 지도, 외국인 손이 지도를 가리킴","Close-up of a foreign traveler's hand pointing at a paper map of South Korea spread on a wooden cafe table, coffee cup beside, warm window light, shallow depth of field",
2,1,훅,5.42,9.75,4.33,P,이 나라는 왜 이렇게 작은데 이렇게 많은 게 들어 있냐고.,"왜 이렇게 작은데, 이렇게 많은 게?","지도 위로 카메라가 천천히 내려감, 얼굴은 프레임 밖","Over-the-shoulder view of a person leaning over a paper map of Korea on a cafe table, face out of frame, fingertip resting on the peninsula, soft afternoon light",
3,1,훅,9.75,16.44,6.69,P,저는 그때 웃으면서 넘겼어요. 그냥 외국인이 하는 덕담이라고 생각했거든요.,자막 없음,"빈 커피잔 두 개, 창밖 빛","Two empty coffee cups on a wooden table beside a folded map, late afternoon sunlight through a window, quiet cafe mood, shallow depth of field",
4,1,훅,16.44,26.17,9.73,P,그런데 이 영상을 준비하면서 자료를 하나씩 찾아보다가 알게 됐습니다. 그 친구 말이 그냥 덕담이 아니었다는 걸요.,덕담이 아니었다,"책상 위 자료 더미, 노트북, 형광펜","Desk covered with printed reports, maps and sticky notes under a desk lamp at night, a laptop glowing, research atmosphere",
5,1,훅,26.17,32.77,6.60,I,"한반도 남쪽, 딱 10만 제곱킬로미터. 세계에서 109번째 크기예요.","100,363제곱킬로미터, 세계 109위","한반도 남쪽 지도 등장, 숫자 카운터","Outline map of South Korea alone glowing softly at center, thin measurement lines around it, minimal",
6,1,훅,32.77,40.93,8.16,I,미국의 백분의 일도 안 되는 땅입니다. 서울에서 부산까지 KTX로 두 시간 반이면 가는 나라예요.,"미국의 100분의 1, 서울-부산 2시간 30분","미국 지도 위에 한반도 겹치기, 이어서 KTX 질주","Flat map comparison, outline of the continental United States in dim gray with a tiny glowing outline of South Korea placed over Texas for scale",
7,1,훅,40.93,47.46,6.53,I,"그런데 이 땅에, 미국이 대륙 전체에 펼쳐놓은 것들이 한 번에 들어가 있습니다.",자막 없음,한반도 3D 지형도가 어둠에서 떠오름,"Glowing 3D relief map of South Korea rising from darkness, mountain ranges, rivers and coastline lighting up in sequence, cinematic top-down angle",
8,1,훅,47.46,56.78,9.32,P,오늘은 우리가 매일 밟고 있는데도 한 번도 제대로 계산해 본 적 없는 이 땅의 진짜 가치를 숫자로 따져 보겠습니다.,국토의 진짜 가치,"출근길 보도블록 밟는 발, 이어서 숫자들이 화면에 떠오름","Low angle shot of pedestrians' feet walking on a Korean city sidewalk at morning rush hour, motion blur, warm light",
9,1,훅,56.78,62.44,5.66,I,"산, 물, 세 개의 바다, 그리고 갯벌. 이 순서로 갈 거예요.",산 / 물 / 세 바다 / 갯벌,"산, 물, 바다, 갯벌 아이콘 네 개 순서대로 켜짐","Four minimal glowing icons in a row, mountain, water drop, wave, and mud flat texture, evenly spaced",
10,1,훅,62.44,65.58,3.14,I,그리고 마지막에 반전이 하나 있습니다.,그리고 반전,아이콘 끝에 물음표 등장,"A single large glowing question mark centered on a dark background, subtle light rays, minimal",
11,1,훅,65.58,74.25,8.67,P,"제목에 신이 편애했다고 써놨는데, 사실 그 말은 절반만 맞아요. 나머지 절반은 끝까지 보시면 알아요.",절반만 맞아요,화면이 대각선으로 절반은 밝고 절반은 어둡게 갈라짐,"Frame split diagonally, one half a bright sunlit Korean landscape and the other half the same landscape in deep shadow, sharp dividing line",
12,2,"산, 없던 숲을 만든 나라",74.25,83.12,8.87,P,먼저 산부터 갈게요. 우리나라 국토의 63퍼센트가 숲입니다. 629만 헥타르.,"산림 63퍼센트, 629만 헥타르","울창한 산맥 드론 광각, 63퍼센트 원형 게이지","Aerial drone view over endless layers of dense green Korean mountain ridges at early morning, thin mist between valleys",
13,2,"산, 없던 숲을 만든 나라",83.12,89.28,6.16,I,"OECD 국가 중에 4위예요. 핀란드, 스웨덴, 일본 다음이 우리예요.",OECD 4위,국기 네 개 순위표,"Four stylized forest silhouettes in a row decreasing slightly in height, each on a small podium, the fourth highlighted",
14,2,"산, 없던 숲을 만든 나라",89.28,98.95,9.67,P,"그런데 이게 원래 이랬던 게 아니에요. 1953년, 전쟁이 끝난 직후 사진을 보면 산이 다 벌거숭이예요.",1953년,"흑백 톤, 나무 없는 민둥산","Black and white 1950s style photograph of barren eroded Korean hills with no trees, gullies carved by rain, dusty path, archival film grain",
15,2,"산, 없던 숲을 만든 나라",98.95,106.20,7.25,P,"일제강점기에 수탈당하고, 전쟁 때 불타고, 남은 나무는 땔감으로 다 베어 썼거든요.","수탈, 전쟁, 땔감","지게에 땔감 진 사람들, 잘린 그루터기","Black and white photo of villagers carrying firewood bundles on wooden A-frame backpacks down a bare hillside dotted with tree stumps, 1950s Korea",
16,2,"산, 없던 숲을 만든 나라",106.20,110.16,3.96,P,겨울에 난방을 하려면 나무밖에 없었으니까요.,자막 없음,"초가집 아궁이에 나무 넣는 손, 연기","Close-up of hands feeding thin branches into a traditional Korean clay firebox under a cooking pot, smoke, dim winter light, sepia tone",
